epoch,lambda_a,loss_rec,loss_ssim,loss_edge,loss_adv_g,loss_g,loss_d,val_psnr,val_bdice
1,0.0,0.0649423069499632,0.1260834333221734,1.0165541332278518,0.1371416552966673,1.0775531050352574,0.2712899784029545,23.933617938132517,0.6097978211584545
2,0.0,0.0496804615654903,0.1035331874279137,0.7597063921591372,0.1278172060167484,0.8436664073136602,0.2545244624507398,24.83134244169508,0.6420653244214398
3,0.0,0.0503264646999846,0.0990611315158778,0.6564228885655276,0.128736635903463,0.7747824351210374,0.2542650239165972,24.501565927550907,0.6765570042743569
4,0.0,0.0496565558088811,0.0969922019207256,0.5996772212921267,0.1521067636567927,0.7374639734444537,0.2487035051232924,22.650564284551717,0.6718299647881871
5,0.0,0.0452784448862075,0.0916911610390836,0.5182369333621649,0.1808576342766456,0.6711615549894435,0.2306095336035909,23.14846291996184,0.6597899132896037
6,0.0,0.0447958345432061,0.0899187893348399,0.4597187776598907,0.3527505155964335,0.63433037995567,0.1138873950503494,25.36112930661156,0.6977254609976496
7,0.0,0.0443933090453382,0.0879333592348544,0.4141309973749801,0.4436526703025121,0.6031922436434857,0.0483993417824167,25.657686244873773,0.695107202267363
8,0.0,0.0427557929473364,0.084931038727943,0.3704532443969499,0.4597605737481366,0.5677065704280733,0.0355267158271563,25.281139396485827,0.6918940584929216
9,0.0,0.0436074603598229,0.0869724587344739,0.3477232179937571,0.4729775293320055,0.5653589046639538,0.0251326414440937,25.461332423346384,0.7017699496022293
10,0.01,0.0429449316290934,0.0850438335253302,0.3117605997951941,0.4455127073814435,0.5434556943330452,0.0480338272929232,25.530030874978927,0.7054611206764266
11,0.01,0.0428005631858995,0.0851946791459482,0.2966080920140819,0.4596799322632832,0.5364801228010161,0.0347787894990064,24.984597013110207,0.6952064317606744
12,0.01,0.0425929912771585,0.0839668930204553,0.2768818756832839,0.4704214875742684,0.5216057166602199,0.0260945419688004,25.76220918837048,0.7047390162590004
13,0.01,0.0419444782079317,0.0830191543445879,0.2563716690905773,0.4644930028011614,0.5068518602971323,0.03067630629603,25.387126286824543,0.7115218518745332
14,0.01,0.0417983326766358,0.0825890288710902,0.2507913069042701,0.475503510296449,0.5023051366717566,0.0218878258464386,25.63896794546218,0.7023546466869968
15,0.01,0.0415012255671304,0.0824440080930825,0.2349720336950028,0.4693476515244285,0.4934567506187153,0.0264723182075493,25.80900846208845,0.6992569585286436
16,0.01,0.0413379608064327,0.081839230644614,0.2303533190612085,0.4685914121056089,0.4885574578604414,0.0267492876260104,25.736000015622093,0.7144239138634432
17,0.01,0.0414759741978234,0.0819850562824675,0.216667106696869,0.4727014385961413,0.4824767679320489,0.0225074204145063,25.790561800911316,0.7104439788631031
